event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX blots PersonX's copy book,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""reprimand PersonX"", ""read the book"", ""to leave class"", ""to go to the gym""]","[""wreckless"", ""mean"", ""careful"", ""skilled""]","[""GET TO NEED IT"", ""Stores book in records"", ""Shows book off""]","[""to use the copy book"", ""to erase things he wrote""]","[""none"", ""pick up marker"", ""take off cap"", ""to hold a glass of water"", ""to spill his water""]","[""motivated"", ""prepared"", ""like he can start over""]","[""To make the copy accurate"", ""To mark the copy as his"", ""apologize"", ""buy another book"", ""to say sorry"", ""to offer person y money""]","[""blots"", ""copy""]",trn
PersonX blows PersonX's brains out,"[""none""]","[""sad"", ""none"", ""sad""]","[""to mourn x"", ""to understand x's reasoning"", ""cry"", ""call 911"", ""none""]","[""wicked"", ""heartless"", ""Empty"", ""Lifeless"", ""desperate"", ""suicidal""]","[""ends life"", ""rots""]","[""to die"", ""to die"", ""to die""]","[""to buy a gun"", ""to write a goodbye note"", ""a gun"", ""bullets"", ""to be depressed"", ""to have a gun""]","[""nan"", ""dead"", ""sad""]","[""to be dead"", ""to have peace"", ""nothing"", ""nothing"", ""to think about their life"", ""to die"", ""to wish they had never done it""]","[""blows"", ""brains""]",dev
PersonX blows PersonX's engine,"[""none"", ""is able to drive again"", ""can't get to work"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""upset"", ""saddened"", ""angry."", ""a hot-head."", ""rough"", ""hard""]","[""breaks down"", ""pays for repairs"", ""gets dirty"", ""gets hurt"", ""tows car, has engine replaced"", ""buys new car""]","[""none"", ""none""]","[""none"", ""none"", ""to drive fast"", ""not have the engine serviced""]","[""anxious"", ""disgusted"", ""annoyed""]","[""To get it repaired"", ""To replace engine"", ""to take it to a mechanic"", ""to buy a brand new car"", ""to replace the engine"", ""to take it to a mechanic""]","[""blows"", ""engine""]",trn
PersonX blows PersonX's horn,"[""none"", ""none"", ""none""]","[""surprised"", ""none"", ""none""]","[""none"", ""to honk back"", ""to avoid PersonX""]","[""skilled"", ""talented"", ""conceited"", ""boastful""]","[""none"", ""play well"", ""proud of the  event"", ""possible ear damage depending on volume""]","[""get someone's attention"", ""to blow a horn"", ""to play his horn""]","[""be in car"", ""to press horn"", ""to step on the brakes"", ""to swerve the car""]","[""irritated"", ""happy"", ""accomplished""]","[""drives away"", ""to get horn replaced"", ""to yell obscenities"", ""to call the police""]","[""blows"", ""horn""]",trn
PersonX blows PersonX's load,"[""none"", ""Person Y asks Person X to leave his house."", ""Person Y closes the bathroom door."", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""relax"", ""happy"", ""careless"", ""extravagant"", ""selfish"", ""jealous""]","[""to blows load"", ""to loaded good enough"", ""Person X takes a nap."", ""Person X smokes a cigarette."", ""none""]","[""make himself happy"", ""to be satisfied""]","[""to make effort"", ""to focus on the task"", ""pleasure themself"", ""to get off"", ""none""]","[""relieved"", ""relieved"", ""satisfied"", ""happy""]","[""drink water"", ""get rest"", ""to clean up"", ""take a shower"", ""go take a nap"", ""to go wash up""]","[""blows"", ""load""]",tst
PersonX blows PersonX's wad,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""to feel satisfied"", ""to plan another meeting""]","[""Rude"", ""Confonts"", ""spendthrift"", ""careless"", ""satisfied"", ""content""]","[""goes to sleep"", ""pays better attention"", ""has no money for bills"", ""has to borrow money"", ""PersonX finishes too soon"", ""PersonX disappoints their partner"", ""smiles"", ""falls asleep""]","[""to relieve stress, have fun"", ""wants to release their wad""]","[""none"", ""to take a bus to the casino"", ""to withdraw money from the ATM"", ""to find a woman"", ""to become intimate with a woman""]","[""great, awesome"", ""satisfied""]","[""Immediate satisfaction"", ""To make an impulse buy"", ""to get drunk"", ""to borrow money"", ""to cuddle"", ""to get dressed""]","[""blows"", ""wad""]",tst
PersonX blows PersonY away,"[""none"", ""cries"", ""gets abandoned"", ""Gets jealous"", ""Gets talkative""]","[""astonished"", ""surprised at what x did""]","[""kill person x"", ""see family"", ""none""]","[""special"", ""glorious"", ""impressive"", ""superior"", ""Amazing"", ""Unbelievable""]","[""none"", ""gets praised"", ""gets consoled"", ""Shows off"", ""Sounds smart""]","[""to impress them"", ""to amaze person""]","[""find person y"", ""find weapon"", ""to tell a funny joke"", ""to make an amazing dinner""]","[""amazed at what he had accomplished"", ""satisfied that he amazed person""]","[""clean up"", ""go to sleep"", ""to keep everyone entertained"", ""to be the life of the party""]","[""blows"", ""away""]",trn
PersonX blows PersonY out of the water,"[""falls"", ""drys off"", ""loses the competition"", ""practices harder next time""]","[""defeated"", ""grateful"", ""defeated and embarrassed""]","[""none"", ""to get out of the water"", ""to yell""]","[""sharp"", ""intelligent"", ""mean"", ""violent"", ""skilled"", ""mean""]","[""slapped"", ""ridiculed"", ""wins the competition"", ""gets an award""]","[""to win an argument with person y"", ""to save them"", ""to be a better player than person y""]","[""tell an eventful story"", ""reveal information"", ""to blow"", ""to make a decision to blow""]","[""victorious"", ""accomplished"", ""like they are a winner and they are superior""]","[""confirm the information"", ""agree with the shock"", ""to apologize"", ""to laugh""]","[""blows"", ""water""]",trn
PersonX blows PersonY's brains out,"[""none"", ""Dies instantly"", ""Falls to the ground"", ""gets hurt"", ""dies""]","[""dead"", ""extreme pain"", ""death"", ""shocked.""]","[""none"", ""come back to life"", ""stop the bleeding in their head"", ""to call the police"", ""to put PersonX in jail"", ""none""]","[""suicidal"", ""depressed"", ""homicidal"", ""psychotic"", ""violent"", ""Defensive"", ""Protecting""]","[""PersonX ends their life"", ""PersonX ends their suffering"", ""Disposes of weapon"", ""Wipes off blood"", ""gets in trouble"", ""goes to jail""]","[""to kill persony"", ""to kill"", ""to end his life.""]","[""to get a gun"", ""to hit PersonY hard on the head"", ""point gun at person Y"", ""shoo the gun"", ""aim a gun"", ""pull the trigger"", ""She walks to her car"", ""She fights off and attacker""]","[""guilty"", ""shocked"", ""accomplished"", ""guilty about the crime.""]","[""to run away"", ""to call the police"", ""to throw the gun away"", ""to get rid of the evidence"", ""throw up"", ""see if PersonY is dead"", ""run away"", ""Call the cops"", ""Fills out the report""]","[""blows"", ""brains""]",dev
PersonX blows PersonY's cover,"[""gets excited"", ""gets scared and yells at personx"", ""start to hit personx"", ""none""]","[""upset"", ""betrayed"", ""annoyed"", ""exposed"", ""betrayed""]","[""to remain under radar"", ""to express discontent to PersonX"", ""to run away"", ""to hide"", ""to leave x wit hthe problem"", ""to save face""]","[""reckless"", ""careless"", ""loud"", ""vibrant"", ""careless"", ""irresponsible""]","[""gets excited"", ""gets nervous"", ""gets yelled at by persony"", ""PersonX screws PersonY"", ""PersonX ruins the party""]","[""none"", ""expose persony for who they really are"", ""talk out of turn"", ""none""]","[""none"", ""to sneak by PersonY"", ""to make a loud noise"", ""none""]","[""guilty"", ""ashamed"", ""smart"", ""guilty""]","[""to apologize"", ""for PersonY to forgive"", ""to run away"", ""to hide"", ""to make up for the mnistake"", ""to expose x""]","[""blows"", ""cover""]",trn
PersonX blows PersonY's engine,"[""yells"", ""screams"", ""has a working car"", ""is grateful"", ""needs a new engine"", ""yells at personX""]","[""sad"", ""angry""]","[""car to be repaired"", ""car to be in working order"", ""none""]","[""irresponsible"", ""risky"", ""immature"", ""C areless"", ""unlucky"", ""irresponsible"", ""careless""]","[""scream"", ""jumps"", ""works on the car"", ""washes hands and face"", ""has to pay for a new engine"", ""loses a friend""]","[""to angry y"", ""irritate y"", ""none""]","[""to borrow PersonY's car"", ""to hear an explosion"", ""to see smoke rising under hood"", ""wants fuel to engine"", ""blows occur on engine""]","[""satisfied"", ""remorseful""]","[""to pull over on the road"", ""to get out of car"", ""to call for automotive assistance"", ""any mistakes happen on engine"", ""protect well""]","[""blows"", ""engine""]",trn
PersonX blows PersonY's horn,"[""takes it back"", ""cleans it"", ""none""]","[""slightly annoyed."", ""none""]","[""Person X to stop blowing their horn."", ""their horn returned."", ""none"", ""to ask questions about PersonY"", ""to get embarrased"", ""to change the topic""]","[""shameless"", ""selfish"", ""talented"", ""alertful"", ""obnoxious"", ""meddlesome""]","[""takes a breath"", ""holds the horn"", ""gets pushed away"", ""gets kicked""]","[""to be funny."", ""to blow a horn""]","[""to get Person Y's horn."", ""to take a big breath."", ""none"", ""to know PersonY"", ""to like PersonY""]","[""happy."", ""happy""]","[""to return the horn."", ""to keep the horn."", ""to be heard"", ""to annoy"", ""to tell everybody about PersonY"", ""to talk about the achievements of PersonY the whole night""]","[""blows"", ""horn""]",trn
PersonX blows PersonY's mind,"[""Experiences shock"", ""Struggles at first to comprehebd, thoughts race"", ""recoils"", ""shouts""]","[""impressed"", ""anxious"", ""amazed"", ""impressed"", ""surprised""]","[""She puts dollars in his shirt."", ""She tries to kiss him."", ""to wonder what PersonX is doing"", ""to ask PersonX questions"", ""to imitate X"", ""to be X""]","[""amazing"", ""incredible"", ""impressionable"", ""talented"", ""imaginative"", ""mindblowing"", ""shocking""]","[""Has an impact"", ""Creates awe"", ""sees an expression"", ""is not believed""]","[""none"", ""to impressed persony"", ""to show knowledge"", ""to impress""]","[""none"", ""to walk to PersonY"", ""to get PersonY's attention"", ""none""]","[""smart"", ""cool"", ""satisfied"", ""happy"", ""knowledgeable""]","[""He shows her more dance moves."", ""Gets really close to her."", ""to surprise PersonY"", ""to answer PersonY's questions"", ""to learn more"", ""to talk to Y""]","[""blows"", ""mind""]",tst
PersonX blows PersonY's nose,"[""gets snot on friend"", ""sneezes instead"", ""Spreads germs"", ""Feels tissue on face""]","[""grossed out that someone did that to them"", ""none"", ""none""]","[""to feel well"", ""to have x get them some more tissue"", ""to not have a runny nose"", ""to thank PersonX"", ""to tell PersonX how they feel"", ""to protest"", ""to thank PersonX""]","[""helpful"", ""nurturing"", ""helpful"", ""friendly""]","[""becomes grossed out"", ""regrets doing it"", ""Exchanges germs"", ""Hears blowing noise""]","[""to help"", ""to be nice"", ""none""]","[""a tissue"", ""to go near y"", ""to know if y wants help"", ""to grab a tissue"", ""to reach for PersonY's nose"", ""to approach PersonY"", ""to instruct PersonY""]","[""helpful"", ""glad"", ""unhappy""]","[""to throw away the tissue"", ""to know if y is alright"", ""to know if y needs more tissue"", ""to know if y needs any medicine"", ""to ask if PersonY feels ok"", ""to make PersonY feel better"", ""to nurse PersonY back to health"", ""to give PersonY medicine""]","[""blows"", ""nose""]",trn
PersonX blows ___ away,"[""none"", ""none"", ""person y dies"", ""they stop breathing""]","[""none"", ""none""]","[""to join PersonX in their business venture"", ""to succeed with PersonX"", ""none"", ""none"", ""none""]","[""aggressive"", ""hostile"", ""mean"", ""uncaring""]","[""becomes friendless"", ""becomes alone"", ""none"", ""has body parts raining on them"", ""gets bloody""]","[""to be rid of the object."", ""to not be bothered""]","[""to be prepared"", ""to have done research"", ""take a deep breath"", ""get leaf blower"", ""none"", ""have something to blow away"", ""inhale""]","[""happy."", ""satisfied""]","[""to get a business deal"", ""to succeed"", ""watch results"", ""try blowing more things"", ""goes to get it"", ""picks it up"", ""to be rid of the item"", ""test skills""]","[""blows"", ""away""]",trn
PersonX blows a bubble,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""Playful"", ""Curious"", ""heroic"", ""valiant"", ""brave"", ""bold"", ""playful"", ""relaxed""]","[""takes a breath"", ""unpurses lips"", ""watches where the bubble goes"", ""tries to blow another bubble."", ""see's it float"", ""smiles""]","[""to have fun"", ""to be a little silly"", ""to be playful""]","[""none"", ""go to party store"", ""open bottle"", ""get gum or soap"", ""learn how to blow a bubble""]","[""joyful"", ""like they are having fun"", ""happy""]","[""watch the bubbles"", ""to have fun"", ""dip wand into bubble solution"", ""close bottle"", ""blow another bubble"", ""pop the bubble""]","[""blows"", ""bubble""]",trn
PersonX blows a kiss,"[""someone catches the kiss"", ""someone understands that romance is being indicated"", ""Catches kiss"", ""Blows kiss back"", ""none""]","[""happy"", ""none"", ""happy to receive the attention and love.""]","[""none""]","[""cute"", ""affectionate"", ""flirty"", ""girly"", ""sweet"", ""leaving"", ""loving"", ""flirtatious""]","[""personX creates romance"", ""personX shows their feelings"", ""none"", ""PersonX says goodbye"", ""PersonX leaves the driveway""]","[""to express affection"", ""to feel romantic"", ""to be affectionate when they say goodbye.""]","[""to move her hand up"", ""to pucker her lips""]","[""happy"", ""delighted"", ""good in that they expressed their affection for someone.""]","[""to get near someone"", ""to say hello""]","[""blows"", ""kiss""]",trn
PersonX blows bubbles,"[""to attract the bubbles"", ""to sad on it"", ""none"", ""none""]","[""none"", ""none""]","[""to chase the bubbles."", ""to play with PersonX."", ""none"", ""none""]","[""fun"", ""expressive"", ""playful"", ""friendly"", ""playful"", ""silly""]","[""to blows with bubbles"", ""they are two bubbles"", ""none"", ""puts soap away"", ""washes hands""]","[""to do something"", ""to have fun""]","[""buy bubbles"", ""open the bottle"", ""bubbles."", ""a bubble blower."", ""to buy bubbles"", ""put bubble wand up to mouth""]","[""happy"", ""interested""]","[""to ask his kids to chase them."", ""to ask his kids to pop the bubbles."", ""to blow more bubbles."", ""to catch the bubbles."", ""to blow more bubbles"", ""to chase bubbles""]","[""blows"", ""bubbles""]",tst
PersonX blows chunks,"[""none"", ""none"", ""none""]","[""none"", ""disgusted and grossed out"", ""none""]","[""none""]","[""nauseous"", ""vomiting"", ""curious"", ""adventurous"", ""competitive"", ""dominant""]","[""holds stomach"", ""drinks water"", ""gets tired"", ""gets dirty"", ""Loses nutrients in their body."", ""Becomes hungry.""]","[""none"", ""none"", ""none""]","[""to become sick"", ""to eat too much""]","[""ill."", ""better and no longer ill"", ""sick"", ""unwell"", ""nautious""]","[""to run to the bathroom"", ""to lay down""]","[""blows"", ""chunks""]",trn
PersonX blows it,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""typical"", ""dumb"", ""Disappointmented"", ""Sensitive"", ""frustrated"", ""incompetent""]","[""loose money"", ""loose a position"", ""gets discouraged"", ""tries again""]","[""to turn off the fire"", ""to spend all his money on a new car""]","[""none"", ""needs a thing"", ""fill air in mouth""]","[""happy"", ""regretful""]","[""make things better"", ""learn from the mistake"", ""clean the place"", ""dump it in a trash""]","[""blows""]",trn
PersonX blows off steam,"[""none"", ""none"", ""none""]","[""upset"", ""hurt"", ""angry""]","[""none""]","[""reactive"", ""emotional"", ""gloomy"", ""perturbed"", ""nervous"", ""uptight""]","[""Person x physically relaxes and improves wellbeing"", ""Person x reduces stress"", ""calms down"", ""controls anger"", ""Gets drunk"", ""Yells at people""]","[""to feel better"", ""to get something off their chest""]","[""none""]","[""relief""]","[""to clam down"", ""to relax""]","[""blows"", ""steam""]",trn
PersonX blows smoke,"[""none""]","[""deceived."", ""irritated."", ""angry"", ""hurt"", ""mislead""]","[""none"", ""none"", ""moves any from PersonX"", ""coughs""]","[""False"", ""Two faced"", ""meancing"", ""teasing"", ""relaxed"", ""cool"", ""trendy""]","[""fans smoke away"", ""puts out cigarette""]","[""to be deceitful."", ""to confuse an issue"", ""to lie about something"", ""to mislead someone""]","[""to light a cigarette"", ""to light a pipe"", ""to light a cigar"", ""to vape"", ""to be smoking a cigarette"", ""to be vaping"", ""to be lighting a grill"", ""buy a pack of cigarettes"", ""buy a lighter""]","[""sneaky."", ""relieved"", ""scared"", ""satisfied""]","[""to seem cool"", ""to take another drag"", ""to grill steak"", ""to spray some airfreshner"", ""continue a conversation"", ""inhale another drag""]","[""blows"", ""smoke""]",tst
PersonX blows the ___ away,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""capable"", ""motivated"", ""active"", ""windy"", ""incredible"", ""surprising""]","[""has to clean up the mess by hand"", ""shouts to other's it is safe to pass now"", ""Sneezes"", ""Runs out of breath""]","[""it is very nature thing"", ""to clean the yard""]","[""to bend down"", ""to open his mouth"", ""to go outside"", ""to find the clouds""]","[""happy"", ""accomplished""]","[""to clean the place"", ""to sit on it"", ""to go back inside"", ""to sit down""]","[""blows"", ""away""]",trn
PersonX blows the lid off ___,"[""Person PersonX was yelling at feels bad"", ""Person personX was yelling at will try to return the favor.""]","[""none"", ""angry"", ""amused"", ""interested""]","[""none"", ""none"", ""none""]","[""involved"", ""inflammatory"", ""aggressive"", ""violent"", ""clumsly"", ""inventive"", ""mean"", ""courageous""]","[""PersonX feels guilt."", ""PersonX has to make reprimands.""]","[""to clean it"", ""to whistle blow on someone"", ""to share the information""]","[""to call the media"", ""to have all the information"", ""none"", ""to get angry"", ""to lose control""]","[""glad"", ""nervous"", ""relieved""]","[""to show everyone the facts"", ""to say that the media is fake"", ""to be done"", ""show their success"", ""to diffuse the situation"", ""to calm down""]","[""blows"", ""lid""]",trn
PersonX blows the whistle,"[""people are shocked at the sound"", ""people have irritated ears"", ""none""]","[""alarmed"", ""worried"", ""none""]","[""none"", ""none""]","[""determined"", ""dominant"", ""commanding"", ""courageous"", ""back-stabber""]","[""none"", ""giving power to lungs"", ""pushing the mouth""]","[""to get attention"", ""reveal something"", ""to be loud"", ""to get attention"", ""to cause a distraction""]","[""none"", ""to have inside information"", ""to know what is going on is wrong""]","[""concerned"", ""anxious"", ""pumped""]","[""to obtain attention"", ""to stop others"", ""to have their name not mentioned"", ""to get an award"", ""to make  deal""]","[""blows"", ""whistle""]",tst
PersonX blows this pop stand,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""finished"", ""anxious"", ""determined"", ""tired""]","[""gets hurt"", ""gets headache"", ""Changes locations"", ""Exits quickly"", ""takes a sigh of relief"", ""goes home quickly.""]","[""move on to better thing"", ""to move on to another location"", ""to no longer be wherever they are""]","[""none"", ""none"", ""to have seen everything"", ""to be bored""]","[""like there going someplace better"", ""gratified"", ""satisfied"", ""relieved they get to leave""]","[""to go home"", ""go somewhere else"", ""drives away"", ""to go to a new pop stand"", ""find a new pop stand"", ""to go somewhere else"", ""to tell everyone never to go back there""]","[""blows"", ""pop""]",trn
PersonX blows this popsicle stand,"[""none""]","[""excited"", ""sad""]","[""none"", ""none""]","[""done"", ""finished"", ""hungry"", ""reckless""]","[""none""]","[""more excitement"", ""to destroy it""]","[""to get his things"", ""to walk out the door"", ""none""]","[""relieved"", ""destructive""]","[""to get a drink"", ""to have a snack"", ""run"", ""evade capture""]","[""blows"", ""popsicle""]",tst
PersonX blows through town,"[""none""]","[""surprised and anxious"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""exuberant"", ""quick"", ""Careless"", ""Selfless""]","[""leaves many possessions behind"", ""is pursued""]","[""to inform people"", ""get there quickly"", ""to get away"", ""to pass through town""]","[""to get in the car"", ""to go too fast"", ""none"", ""to have a car"", ""to be in a rush""]","[""happy to inform others"", ""rushed"", ""free""]","[""to stop"", ""to get out of the car"", ""city"", ""car"", ""to get way"", ""to experience some place new""]","[""blows"", ""town""]",tst
PersonX blows to kingdom come,"[""none"", ""Surrends"", ""Bombs X back"", ""none""]","[""none""]","[""none""]","[""annoying"", ""lame"", ""Angry"", ""Warrior""]","[""none"", ""Wins the war"", ""Demands surrender"", ""stops breathing"", ""dies""]","[""to let off steam""]","[""to have a gun"", ""to go to someone they don't like"", ""to buy ammunition""]","[""satisfied""]","[""to run away"", ""to call the police"", ""to check and confirm the job is done""]","[""blows"", ""kingdom""]",trn
PersonX blows up PersonY's phone,"[""turns off the phone"", ""vents to friends"", ""gets shocked"", ""becomes bitter towards PersonX"", ""loses a phone"", ""none""]","[""angry"", ""fearful"", ""irritated""]","[""a phone"", ""to call the police"", ""to ignore PersonX"", ""to put their phone on silent""]","[""annoying"", ""persistent"", ""bad"", ""immoral""]","[""Has anxiety"", ""curses"", ""paces the room"", ""gets yelled at"", ""gets scolded"", ""becomes spited"", ""they get arrested"", ""they get beat up""]","[""to talk"", ""to get information"", ""to talk to the other"", ""their attention""]","[""a bomb"", ""fire"", ""to pick up their phone"", ""to dial PersonY's phone multiple times""]","[""annoyed"", ""irritated"", ""needy"", ""impatient""]","[""to run away"", ""hide"", ""to get in touch with PersonY"", ""to send PersonY a message""]","[""blows"", ""phone""]",tst
PersonX boards PersonX's plane,"[""none"", ""none"", ""Pilot communicates with headquarters"", ""Pilot lands plane.""]","[""helpful"", ""instrumental"", ""happy"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""available"", ""present"", ""responsible"", ""respectful""]","[""thinks about the trip"", ""goes over the flight plan"", ""flies into the air"", ""hits turbulence"", ""is shown where to sit"", ""is given flight etiquette overview by attendants and pilot.""]","[""to take a trip"", ""experience flying"", ""learn to be a pilot"", ""to travel by flight"", ""to travel""]","[""to ride to the airport"", ""to call the driver"", ""drive to the airport"", ""park his car at a long term parking lot"", ""none""]","[""excited"", ""stimulated"", ""happy"", ""anticipatory"", ""satisfied"", ""excited""]","[""to go to Jamaica"", ""to take a trip"", ""to go to Florida"", ""to see his parents"", ""to fly the plane"", ""to arrive safely""]","[""boards"", ""plane""]",trn
PersonX boards PersonY's plane,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""involved""]","[""fly to destination"", ""exit plane"", ""park the airplane in a hangar for storage"", ""go get a bite to eat"", ""get some sleep"", ""none""]","[""Adventurous"", ""Outgoing"", ""hopeful"", ""content""]","[""smells canned air"", ""hunches under ceiling"", ""none"", ""smiles"", ""stomach hurts""]","[""to be on time"", ""ready to leave"", ""not late"", ""to get to montreal."", ""to experience plane""]","[""pack a suitcase"", ""move towards plane"", ""to pack luggage for the trip"", ""drive to the airport"", ""to buy a ticket"", ""to go to the airport""]","[""satisfied"", ""happy"", ""relaxed"", ""explorative"", ""comfortable"", ""happy""]","[""fly to destination"", ""exit plane"", ""take a seat on the plane and prepare for take off"", ""sleep on the plane ride"", ""take a nap"", ""to get a good seat""]","[""boards"", ""plane""]",trn
PersonX boards a plane,"[""none"", ""bumbed into"", ""PersonX sits next to them"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""to put away their things"", ""to wait for the flight"", ""none""]","[""hopeful"", ""interested"", ""ready"", ""excited"", ""prepared"", ""travelling""]","[""takes off shoes"", ""is asked for ticket"", ""becomes nauseous"", ""someone sits next to them"", ""has jetlag"", ""is hungry""]","[""to go somewhere"", ""to go abroad"", ""to go to korea""]","[""buy an airline ticket"", ""go to the airport"", ""to book a ticket"", ""to show up at the plane"", ""To have tickets"", ""To go to airport""]","[""exceited"", ""thrilled and happy"", ""excited"", ""ready""]","[""to go to Florida from Phoenix"", ""to go on a business trip"", ""to put away their things"", ""to wait for the flight"", ""To travel"", ""To reach destination""]","[""boards"", ""plane""]",trn
PersonX boards the boat,"[""none"", ""none"", ""has to make sure everyone has boarded"", ""has to keep people safe""]","[""none"", ""none""]","[""none"", ""none""]","[""excited"", ""adventurous"", ""adventurous"", ""nervous"", ""willing"", ""adventerous""]","[""balances self"", ""hangs on"", ""gets seasick"", ""is unsteady"", ""has to keep their balance"", ""can't wait to start their trip""]","[""to go for a ride"", ""to get on the boat""]","[""to go to  the shore"", ""to go near the boat"", ""to buy a ticket"", ""to pack luggage""]","[""happy"", ""nervous"", ""safe""]","[""to sail it"", ""to pedal it himself"", ""to check out their cabin"", ""to stow their luggage""]","[""boards"", ""boat""]",trn
PersonX boards the bus,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""to collect the fair"", ""to drive the bus"", ""none""]","[""thrifty"", ""adventurous"", ""quick"", ""decisive"", ""aboard"", ""in transit""]","[""Temperature goes down due to AC"", ""Becomes naseous"", ""gets stared at"", ""looks ahead"", ""none""]","[""to get a ride"", ""to go out to have some fun."", ""to visit places""]","[""to get to the bus stop"", ""to wait until the bus arrives"", ""to wait at the stop"", ""to pay their fair"", ""To buy a ticket"", ""To pick the right route""]","[""rested and transported"", ""content"", ""adventures""]","[""to find a seat"", ""to look out of the window"", ""to ride the bus to their stop"", ""to get off the bus"", ""To arrive somewhere"", ""To not have to drive""]","[""boards"", ""bus""]",trn
PersonX boards the plane,"[""none"", ""none"", ""move out of his way"", ""move their luggage to make way for his""]","[""none"", ""none"", ""none""]","[""none"", ""none""]","[""brave"", ""nomadic"", ""adventurous"", ""dedicated""]","[""sits in a plane seat"", ""flies in the air on a plane"", ""becomes seated"", ""looks out of the window"", ""searches for his seat"", ""stows his bag""]","[""to go somewhere"", ""to fly somewhere"", ""to travel somewhere""]","[""buy a plane tickey"", ""go to the airport"", ""go through security"", ""To have boarding pass"", ""To have booked ticket""]","[""like he is going on a trip"", ""nervous"", ""tired"", ""anxious"", ""excited""]","[""have a safe flight"", ""get off of the plane"", ""To enjoy vacation"", ""To go home""]","[""boards"", ""plane""]",trn
PersonX boards the train,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""to settle in the train"", ""to wait to get to their destination""]","[""punctual"", ""explorer"", ""anxious"", ""excited""]","[""see's the crowd"", ""wants to get home"", ""is asked to take their seat"", ""is asked for their ticket"", ""gets sweaty from boarding"", ""gets tired""]","[""to go to the city."", ""to get somewhere"", ""to ride a train"", ""to travel"", ""to get somewhere""]","[""go to railway station"", ""wait for train"", ""to go to station"", ""to buy a ticket"", ""to go to the train station"", ""to buy a train ticket""]","[""excited."", ""ready"", ""excited"", ""amused"", ""bored""]","[""get a seat in train"", ""keep luggage"", ""to get on board"", ""to show ticket"", ""to sit and rest"", ""to head home"", ""to settle in the train"", ""to wait to get to their destination""]","[""boards"", ""train""]",trn
PersonX bobs PersonY's head,"[""none"", ""takes in water"", ""gets hurt"", ""none""]","[""competent and agreeable."", ""none"", ""indifferent.""]","[""to get away"", ""to not be touched"", ""none"", ""to be selected"", ""give a good impression""]","[""artistic"", ""fun"", ""musical"", ""playful"", ""friendly"", ""fun loving"", ""funny""]","[""hears a laugh"", ""gets pushed"", ""gets pushed away"", ""gets in a fight"", ""they get arrested"", ""they go to jail""]","[""wants to show their interest and approval."", ""to jam out to his favorite song"", ""none""]","[""none"", ""to hold PersonY's head"", ""to force personY to move their head up and down"", ""to be teaching PersonY classical dancing"", ""a comb"", ""a sissors""]","[""understood and satisfied."", ""hyped up"", ""sorry for bobbing persons head.""]","[""to get attention"", ""to annoy"", ""to massage PersonY's neck"", ""to tell PersonY to look at themself while bobbing"", ""to send him to an interview"", ""create a good impression""]","[""bobs"", ""head""]",trn
PersonX boils ___ on the stove,"[""none"", ""none"", ""it make good understaning"", ""it will create good name those persons""]","[""satisfied"", ""satiated"", ""none""]","[""none"", ""none""]","[""capable"", ""active"", ""productive"", ""boring"", ""self sufficient"", ""hungry""]","[""none"", ""is able to drink clean water"", ""is able to cook food"", ""its save time"", ""its not expansive""]","[""to make a meal"", ""to cook"", ""to cook."", ""to prepare an item.""]","[""fill the pan"", ""turn on the burner""]","[""full"", ""content"", ""responsible."", ""good."", ""hungry.""]","[""to drink a coffee"", ""to get energetic"", ""put noodles in"", ""start the sauce""]","[""boils"", ""stove""]",trn
PersonX boils some water,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""ready"", ""busy"", ""active"", ""thirsty"", ""capable"", ""able""]","[""drops pasta in the pot"", ""eats his dinner"", ""becomes warm"", ""begins cooking""]","[""to have hot water"", ""hot water"", ""to drink a hot water""]","[""to start the stove"", ""to get a pan"", ""put water in a pot"", ""turn on the heat source"", ""pour liquid"", ""turn on stove""]","[""satisfied"", ""thirsty"", ""satisfied""]","[""to boil eggs"", ""to make tea"", ""cook something"", ""turn the heat off"", ""pour in pasta"", ""cook""]","[""boils"", ""water""]",trn
